State,Date,New Cases,7-Day Moving Avg
Florida,Jul 11 2020,14979,9742
Florida,Jul 10 2020,10140,8994
Florida,Jul  9 2020,11127,9146
Florida,Jul  8 2020,8767,8873
Florida,Jul  7 2020,9825,8959
Florida,Jul  6 2020,7215,8481
Florida,Jul  5 2020,6147,8302
Florida,Jul  4 2020,9739,8182
Florida,Jul  3 2020,11202,7971
Florida,Jul  2 2020,9222,7726
Florida,Jul  1 2020,9365,7661
Florida,Jun 30 2020,6477,7034
Florida,Jun 29 2020,5965,6885
Florida,Jun 28 2020,5308,6573
Florida,Jun 27 2020,8262,6206
Florida,Jun 26 2020,9486,5683
Florida,Jun 25 2020,8766,4896
Florida,Jun 24 2020,4975,4115
Florida,Jun 23 2020,5433,3788
Florida,Jun 22 2020,3786,3358
Florida,Jun 21 2020,2737,3202
Florida,Jun 20 2020,4598,3061
Florida,Jun 19 2020,3982,2708
Florida,Jun 18 2020,3298,2490
Florida,Jun 17 2020,2684,2252
Florida,Jun 16 2020,2424,2106
Florida,Jun 15 2020,2691,1938
Florida,Jun 14 2020,1755,1717
Florida,Jun 13 2020,2124,1613
Florida,Jun 12 2020,2457,1509
Florida,Jun 11 2020,1631,1335
Florida,Jun 10 2020,1665,1246
Florida,Jun  9 2020,1243,1189
Florida,Jun  8 2020,1148,1184
Florida,Jun  7 2020,1029,1106
Florida,Jun  6 2020,1390,1059
Florida,Jun  5 2020,1242,985
Florida,Jun  4 2020,1011,915
Florida,Jun  3 2020,1266,944
Florida,Jun  2 2020,1208,850
Florida,Jun  1 2020,601,745
Florida,May 31 2020,699,731
Florida,May 30 2020,870,770
Florida,May 29 2020,751,724
Florida,May 28 2020,1215,721
Florida,May 27 2020,610,650
Florida,May 26 2020,474,733
Florida,May 25 2020,499,733
Florida,May 24 2020,976,749
Florida,May 23 2020,544,702
Florida,May 22 2020,731,787
Florida,May 21 2020,722,751
Florida,May 20 2020,1187,760
Florida,May 19 2020,474,703
Florida,May 18 2020,610,749
Florida,May 17 2020,651,748
Florida,May 16 2020,1135,710
Florida,May 15 2020,478,645
Florida,May 14 2020,785,687
Florida,May 13 2020,789,624
Florida,May 12 2020,798,601
Florida,May 11 2020,605,570
Florida,May 10 2020,383,565
Florida,May  9 2020,680,620
Florida,May  8 2020,771,613
Florida,May  7 2020,343,603
Florida,May  6 2020,627,693
Florida,May  5 2020,583,677
Florida,May  4 2020,573,643
Florida,May  3 2020,764,667
Florida,May  2 2020,630,632
Florida,May  1 2020,702,655
Florida,Apr 30 2020,976,660
Florida,Apr 29 2020,514,693
Florida,Apr 28 2020,342,720
Florida,Apr 27 2020,746,794
Florida,Apr 26 2020,518,794
Florida,Apr 25 2020,793,821
Florida,Apr 24 2020,733,813
Florida,Apr 23 2020,1211,863
Florida,Apr 22 2020,697,860
Florida,Apr 21 2020,861,889
Florida,Apr 20 2020,745,851
Florida,Apr 19 2020,709,876
Florida,Apr 18 2020,741,890
Florida,Apr 17 2020,1078,936
Florida,Apr 16 2020,1195,938
Florida,Apr 15 2020,897,915
Florida,Apr 14 2020,593,936
Florida,Apr 13 2020,922,995
Florida,Apr 12 2020,809,1029
Florida,Apr 11 2020,1062,1022
Florida,Apr 10 2020,1089,1034
Florida,Apr  9 2020,1033,1062
Florida,Apr  8 2020,1046,1095
Florida,Apr  7 2020,1005,1093
Florida,Apr  6 2020,1159,1078
Florida,Apr  5 2020,764,1034
Florida,Apr  4 2020,1148,1050
Florida,Apr  3 2020,1279,987
Florida,Apr  2 2020,1267,898
Florida,Apr  1 2020,1031,793
